id,user_response,latency,hero,for_hero,version,userIP,sessionID,item,iorder,itemn
296,-1,4.018,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
297,-2,2.454,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
298,1,2.408,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
299,-1,2.476,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
300,2,2.457,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
301,-1,2.299,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
302,-2,2.478,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
303,-1,8.409,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
304,-2,2.759,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
305,1,3.54,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
306,-1,3.555,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
307,1,1.752,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
308,-2,2.002,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
309,2,4.625,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
310,1,2.576,Robert Neville (Will Smith) from I am Legend,0,0.1,203.174.188.62,2293,0,0,0
311,2,7.986,Robert Neville (Will Smith) from I am Legend,1,0.1,203.174.188.62,2293,0,0,0
312,2,5.458,Robert Neville (Will Smith) from I am Legend,1,0.1,203.174.188.62,2293,0,0,0
313,2,2.269,Robert Neville (Will Smith) from I am Legend,1,0.1,203.174.188.62,2293,0,0,0
314,-2,3.963,Robert Neville (Will Smith) from I am Legend,1,0.1,203.174.188.62,2293,0,0,0
315,2,2.925,Robert Neville (Will Smith) from I am Legend,1,0.1,203.174.188.62,2293,0,0,0
316,2,8.534,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
317,1,1.737,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
318,1,2.342,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
319,1,2.242,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
320,-1,2.905,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
321,-2,2.832,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
322,-1,2.182,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
323,-1,7.685,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
324,1,3.016,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
325,1,3.854,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
326,-1,1.851,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
327,1,2.473,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
328,-1,1.329,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
329,-1,4.921,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
330,1,3.296,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,165.228.97.173,2294,0,0,0
331,1,2.253,Rick Grimes (Andrew Lincoln) from the Walking Dead,1,0.1,165.228.97.173,2294,0,0,0
332,-1,4.757,Rick Grimes (Andrew Lincoln) from the Walking Dead,1,0.1,165.228.97.173,2294,0,0,0
333,-1,2.306,Rick Grimes (Andrew Lincoln) from the Walking Dead,1,0.1,165.228.97.173,2294,0,0,0
334,1,2.461,Rick Grimes (Andrew Lincoln) from the Walking Dead,1,0.1,165.228.97.173,2294,0,0,0
335,-1,3.53,Rick Grimes (Andrew Lincoln) from the Walking Dead,1,0.1,165.228.97.173,2294,0,0,0
336,1,2.75,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
337,1,2.704,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
338,-2,2.579,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
339,2,2.041,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
340,-1,2.04,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
341,1,4.651,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
342,1,2.506,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
343,2,4.364,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
344,-2,5.872,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
345,-1,3.614,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
346,-1,4.312,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
347,-1,5.515,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
348,-1,5.518,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
349,1,2.552,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
350,1,2.986,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,35.13.28.7,2295,0,0,0
351,-2,3.993,Rick Grimes (Andrew Lincoln) from the Walking Dead,1,0.1,35.13.28.7,2295,0,0,0
352,-2,3.404,Rick Grimes (Andrew Lincoln) from the Walking Dead,1,0.1,35.13.28.7,2295,0,0,0
353,1,5.986,Rick Grimes (Andrew Lincoln) from the Walking Dead,1,0.1,35.13.28.7,2295,0,0,0
354,-1,2.956,Rick Grimes (Andrew Lincoln) from the Walking Dead,1,0.1,35.13.28.7,2295,0,0,0
355,-1,2.127,Rick Grimes (Andrew Lincoln) from the Walking Dead,1,0.1,35.13.28.7,2295,0,0,0
356,2,4.331,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
357,1,3.829,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
358,1,4.964,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
359,-1,2.938,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
360,1,8.37,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
361,1,3.156,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
362,-1,3.976,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
363,1,3.402,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
364,-1,3.915,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
365,-1,6.467,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
366,2,2.645,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
367,-1,9.025,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
368,-1,1.794,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
369,2,9.391,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
370,1,2.982,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
371,-2,3.415,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
372,2,2.211,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
373,-1,2.28,Robert Neville (Will Smith) from I am Legend,0,0.1,68.107.191.85,2297,0,0,0
374,1,4.501,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
375,2,3.618,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
376,1,9.779,Robert Neville (Will Smith) from I am Legend,1,0.1,68.107.191.85,2297,0,0,0
377,2,1.366,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
378,-1,3.928,Robert Neville (Will Smith) from I am Legend,1,0.1,68.107.191.85,2297,0,0,0
379,1,4.159,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
380,1,2.789,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
381,1,3.104,Robert Neville (Will Smith) from I am Legend,1,0.1,68.107.191.85,2297,0,0,0
382,-2,3.686,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
383,1,3.874,Robert Neville (Will Smith) from I am Legend,1,0.1,68.107.191.85,2297,0,0,0
384,2,1.885,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
385,-1,2.039,Robert Neville (Will Smith) from I am Legend,1,0.1,68.107.191.85,2297,0,0,0
386,-2,2.919,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
387,2,4.936,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
388,-1,1.925,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
389,-2,3.417,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
390,2,2.462,Robert Neville (Will Smith) from I am Legend,0,0.1,2.102.176.111,2298,0,0,0
391,-2,3.408,Robert Neville (Will Smith) from I am Legend,1,0.1,2.102.176.111,2298,0,0,0
392,-2,3.556,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
393,-2,3.565,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
394,-2,8.752,Robert Neville (Will Smith) from I am Legend,1,0.1,2.102.176.111,2298,0,0,0
395,-1,4.008,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
396,-2,2.062,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
397,-2,3.632,Robert Neville (Will Smith) from I am Legend,1,0.1,2.102.176.111,2298,0,0,0
398,1,5.26,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
399,-1,3.923,Robert Neville (Will Smith) from I am Legend,1,0.1,2.102.176.111,2298,0,0,0
400,-2,8.481,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
401,1,3.654,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
402,1,4.337,Robert Neville (Will Smith) from I am Legend,1,0.1,2.102.176.111,2298,0,0,0
403,1,1.868,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
404,-2,3.18,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
405,1,2.214,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
406,1,3.768,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
407,1,4.274,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
408,-2,2.791,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
409,1,2.958,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
410,2,6.653,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
411,1,3.727,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
412,-1,3.441,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
413,-1,3.49,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
414,-1,4.614,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
415,-1,16.872,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
416,-1,7.9,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
417,-2,4.199,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
418,2,2.954,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
419,1,4.579,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
420,1,2.274,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
421,-2,1.839,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
422,-1,3.482,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
423,-2,4.899,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
424,-2,6.162,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2300,0,0,0
425,-2,4.187,Jill Valentine from Resident Evil,0,0.1,99.250.144.67,2299,0,0,0
426,-2,7.345,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,81.233.211.216,2300,0,0,0
427,-1,3.325,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,81.233.211.216,2300,0,0,0
428,-2,7.739,Jill Valentine from Resident Evil,1,0.1,99.250.144.67,2299,0,0,0
429,-2,0.792,Jill Valentine from Resident Evil,1,0.1,99.250.144.67,2299,0,0,0
430,-2,0.145,Jill Valentine from Resident Evil,1,0.1,99.250.144.67,2299,0,0,0
431,-1,4.106,Jill Valentine from Resident Evil,1,0.1,99.250.144.67,2299,0,0,0
432,-1,6.224,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,81.233.211.216,2300,0,0,0
433,-1,2.279,Jill Valentine from Resident Evil,1,0.1,99.250.144.67,2299,0,0,0
434,-1,11.92,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,81.233.211.216,2300,0,0,0
435,-2,2.171,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,81.233.211.216,2300,0,0,0
436,-2,2.973,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
437,-2,1.577,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
438,2,1.999,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
439,-2,1.312,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
440,2,2.737,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
441,2,1.539,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
442,2,1.08,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
443,2,1.647,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
444,2,2.484,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
445,2,1.309,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
446,2,4.282,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
447,2,1.221,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
448,-2,1.951,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
449,-2,2.747,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
450,-2,1.597,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,81.233.211.216,2302,0,0,0
451,-2,2.008,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,81.233.211.216,2302,0,0,0
452,2,4.74,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,81.233.211.216,2302,0,0,0
453,-2,2.709,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,81.233.211.216,2302,0,0,0
454,2,2.373,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,81.233.211.216,2302,0,0,0
455,2,2.175,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,81.233.211.216,2302,0,0,0
456,1,9.194,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,67.208.226.181,2303,0,0,0
457,1,6.981,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,67.208.226.181,2303,0,0,0
458,1,6.454,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
459,1,6.785,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,67.208.226.181,2303,0,0,0
460,-2,2.719,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
461,-1,3.196,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
462,2,5.52,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,67.208.226.181,2303,0,0,0
463,-1,4.798,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
464,1,6.157,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,67.208.226.181,2303,0,0,0
465,1,2.791,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,67.208.226.181,2303,0,0,0
466,2,7.272,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
467,-1,2.255,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
468,2,1.999,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
469,-2,7.153,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,67.208.226.181,2303,0,0,0
470,-2,3.66,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
471,1,3.968,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,67.208.226.181,2303,0,0,0
472,-1,2.163,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
473,1,2.613,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
474,-2,4.325,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,67.208.226.181,2303,0,0,0
475,1,5.447,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
476,-2,2.305,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
477,2,7.926,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,67.208.226.181,2303,0,0,0
478,-1,3.057,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
479,-1,3.245,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,67.208.226.181,2303,0,0,0
480,-2,3.567,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
481,1,6.095,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,67.208.226.181,2303,0,0,0
482,2,3.71,Jill Valentine from Resident Evil,0,0.1,75.118.63.16,2307,0,0,0
483,1,7.199,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),0,0.1,91.10.85.97,2305,0,0,0
484,-1,3.47,Jill Valentine from Resident Evil,0,0.1,75.118.63.16,2307,0,0,0
485,1,3.21,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,91.10.85.97,2305,0,0,0
486,1,2.324,Jill Valentine from Resident Evil,0,0.1,75.118.63.16,2307,0,0,0
487,1,8.131,Rick Grimes (Andrew Lincoln) from the Walking Dead,0,0.1,67.208.226.181,2303,0,0,0
488,-1,2.627,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,91.10.85.97,2305,0,0,0
489,1,3.093,Ashley &#39;Ash&#39; J. Williams (Bruce Campbell) from the Evil Dead (1981),1,0.1,91.10.85.97,2305,0,0,0
490,1,4.849,Jill Valentine from Resident Evil,0,0.1,75.118.63.16,2307,0,0,0
